Unité;Leçon;FRANZÖSISCH;PHONETIK;DEUTSCH
1;1;admis/e (adj.);[admi / admiz];zugelassen (adj.)
1;1;adresse (une);[ynadrɛs];Adresse (eine)
1;1;avocat/e (un/une);[ɛ̃navɔka / ynavɔkat];Anwalt/Anwältin (ein/ eine)
1;1;avoir besoin (v.);[avwar bəzwɛ̃];brauchen
1;1;beau-fils (un) / belle-fille (une);[ɛ̃ bofis / yn(ə) bɛlfij];"Schwiegersohn (ein) / Schwiegertochter
(eine)"
1;1;beau-père (un) / belle-mère (une);[ɛ̃ bopɛr / yn(ə) bɛlmɛr];"Schwiegervater (ein) / Schwiegermutter
(eine)"
1;1;bienvenue;[bjɛ̃v(ə)ny];willkommen
1;1;célibataire (adj.);[selibatɛr];ledig (adj.)
1;1;centre d’intérêt (un);[ɛ̃ sɑ̃trə dɛ̃terɛ];Interessen (pl.)
1;1;chercher;[ʃɛrʃe];suchen
1;1;chômeur/euse (un/ une);[ɛ̃ ʃomoer / yn(ə) ʃomøz];Arbeitslose/r (ein/eine)
1;1;client/e (un/une);[ɛ̃ klijɑ̃ / yn(ə) kliyɑnt];Kunde (ein) / Kundin (eine)
1;1;code postal (un);[ɛ̃ kɔd(ə) pɔstal];Postleitzahl (eine)
1;1;compagnon (un) / compagne (une);[ɛ̃ kɔ̃paɲɔ̃ / yn(ə) kɔ̃paɲ];"Lebensgefährte (ein) / Lebensgefährtin
(eine)"
1;1;compétence (une);[yn(ə) kɔ̃petɑ̃s];Fähigkeit (eine)
1;1;conjoint/e (un/une);[ɛ̃ kɔ̃ʒwɛ̃ / yn(ə) kɔ̃ʒwɛ̃t];Ehepartner/in (ein/ eine)
1;1;coordonnées (des);[dɛ kɔɔrdɔne];Kontaktdaten (pl.)
1;1;couple (un);[ɛ̃ kupl];Paar (ein)
1;1;date de naissance (une);[yn(ə) dat də nɛsɑ̃s];Geburtsdatum (ein)
1;1;état civil (l');[leta sivil];Familienstand (der)
1;1;événement (un);[ɛ̃nevɛn(ə)mɑ̃];Ereignis (ein) / Veranstaltung (eine)
1;1;familial/e (adj.);[familjal];familiär (adj.)
1;1;formateur/trice (un/ une);[ɛ̃ fɔrmatoer / yn(ə) fɔrmatris];Kursleiter/in (ein/eine)
1;1;formation (une);[yn(ə) fɔrmasjɔ̃];Ausbildung (eine)
1;1;formulaire (un);[ɛ̃ fɔrmylɛr];Formular (ein)
1;1;futur (le);[lə fytyr];Zukunft (die)
1;1;graphiste (un/une);[ɛ̃ grafist / yn(ə) grafist];Grafikdesigner/in (ein/ eine)
1;1;habiter (v.);[abite];wohnen
1;1;indépendant/e (adj.);[ɛ̃depɑ̃dɑ̃ / ɛ̃depɑ̃dɑ̃t];selbständig (adj.)
1;1;logiciel (un);[ɛ̃ lɔʒisjɛl];Software (eine)
1;1;maison d’édition (une);[yn(ə) mɛzɔ̃ dedisjɔ̃];Verlag (ein)
1;1;mari (un) / femme (une);[ɛ̃ mari / yn(ə) fam];Ehemann (ein) / Ehefrau (eine)
1;1;marié/e (adj.);[marje / marje];verheiratet (adj.)
1;1;mettre à jour (v.);[mɛtra ʒur];aktualisieren
1;1;motivation (une);[yn(ə) mɔtivasjɔ̃];Motivation (eine)
1;1;nationalité (une);[yn(ə) nasjɔnalite];Nationalität (eine)
1;1;participant/e (un/une);[ɛ̃ partisipɑ̃ / yn(ə) partisipɑ̃t];Teilnehmer/in (ein/ eine)
1;1;payant/e (adj.);[pɛjɑ̃ / pɛjɑ̃t];kostenpflichtig (adj.)
1;1;père (un) / mère (une);[ɛ̃ pɛr / yn(ə) mɛr];Vater (ein) / Mutter (eine)
1;1;pourquoi;[purkwa];warum
1;1;préinscription (une);[yn(ə) preɛ̃skripsjɔ̃];Voranmeldung (eine)
1;1;prénom (un);[ɛ̃ prenɔ̃];Vorname (ein)
1;1;prix (un);[ɛ̃ pri];Preis (ein)
1;1;profession (une);[yn(ə) prɔfesjɔ̃];Beruf (ein)
1;1;professionnel/elle (adj.);[prɔfesjɔnɛl / prɔfesjɔnɛl];beruflich / professionell (adj.)
1;1;projet (un);[ɛ̃ prɔʒɛ];Projekt (ein)
1;1;public (le);[lə pyblik];Öffentlichkeit (die)
1;1;s’occuper (v.);[sɔkype];sich kümmern
1;1;salarié/e (un/une);[ɛ̃ salarje / yn(ə) salarje];Angestellte/r (ein/eine)
1;1;séparé/e (adj.);[separe / separe];getrennt (adj.)
1;1;situation (une);[yn(ə) sitɥasjɔ̃];Situation (eine)
1;1;veuf/veuve (adj.);[voef / voev];verwitwet (adj.)
1;2;agréable (adj.);[agreabl];angenehm (adj.)
1;2;ami/e (un/une);[ɛ̃nami / ynami];Freund/in (ein/eine)
1;2;amitié (l');[lamitje];Freundschaft (die)
1;2;article (un);[ɛ̃nartikl];Artikel (ein)
1;2;avec;[avɛk];mit
1;2;campagne (la);[la kɑ̃paɲ];Land (das)
1;2;caractère (un);[ɛ̃ karaktɛr];Charakter (ein)
1;2;caractéristique (une);[yn(ə) karakteristik];Merkmal (ein)
1;2;chien (un);[ɛ̃ ʃjɛ̃];Hund (ein)
1;2;collègue (un/une);[ɛ̃ kɔlɛg / yn(ə) kɔlɛg];Kollege (ein) / Kollegin (eine)
1;2;copain (un) / copine (une);[ɛ̃ kɔpɛ̃ / yn(ə) kɔpin];Freund/in (ein/eine)
1;2;croiser (v.);[krwaze];begegnen
1;2;découvrir (v.);[dekuvrir];entdecken
1;2;défaut (un);[ɛ̃ defo];Schwäche (eine)
1;2;dernier/ière (adj.);[dɛrnje / dɛrnjɛr];letzte (adj.)
1;2;devenir (v.);[dəv(ə)nir];werden
1;2;drôle (adj.);[drol];lustig (adj.)
1;2;entourage (l’);[lɑ̃turaʒ];Umgebung (die)
1;2;essayer (v.);[eseje];versuchen
1;2;facile (adj.);[fasil];einfach (adj.)
1;2;faire connaissance (v.);[fɛr kɔnɛsɑ̃s];kennenlernen
1;2;faire le premier pas (v.);[fɛr lə prəmje pa];den ersten Schritt tun
1;2;fête (une);[yn(ə) fɛt];Party (eine)
1;2;fréquenter (v.);[frekɑ̃te];verkehren mit
1;2;généreux/euse (adj.);[ʒenerø / ʒenerøz];großzügig (adj.)
1;2;gens (des);[de ʒɑ̃];Leute (pl.)
1;2;habitude (une);[ynabityd];Gewohnheit (eine)
1;2;heureux/euse (adj.);[ørø / ørøz];glücklich (adj.)
1;2;modeste (adj.);[mɔdɛst];bescheiden (adj.)
1;2;montrer (v.);[mɔ̃tre];"zeigen (montrer l’exemple = Beispiel
geben)"
1;2;occasion (une);[ynɔkazjɔ̃];Anlass (ein) / Gelegenheit (eine)
1;2;parfois;[parfwa];manchmal
1;2;petit déjeuner (un);[ɛ̃ p(ə)ti deʒøne];Frühstück (ein)
1;2;portable (un);[ɛ̃ pɔrtabl];Laptop (ein)
1;2;préférer (v.);[prefere];bevorzugen
1;2;prétentieux/euse (adj.);[pretɑ̃sjø / pretɑ̃sjøz];überheblich (adj.)
1;2;principal/e (adj.);[prɛ̃sipal / prɛ̃sipal];wichtigste(r) (adj.)
1;2;promener (v.);[prɔm(ə)ne];spazieren gehen
1;2;psychologique (adj.);[psykɔlɔʒik];psychologisch (adj.)
1;2;qualité (une);[yn(ə) kalite];Qualität / Stärke (eine)
1;2;quand;[kɑ̃];wann / wenn
1;2;relation (une);[yn(ə) rəlasjɔ̃];Beziehung (eine)
1;2;rencontrer (v.);[rɑ̃kɔ̃tre];treffen
1;2;rigoler (v.);[rigɔle];Spaß haben
1;2;rubrique (une);[yn(ə) rybrik];Rubrik (eine)
1;2;sans;[sɑ̃];ohne
1;2;se croiser (v.);[s(ə) krwaze];sich begegnen
1;2;sérieux/euse (adj.);[serjø / serjøz];ernst / seriös (adj.)
1;2;souvent;[suvɑ̃];oft
1;2;tard;[tar];spät
1;2;thème (un);[ɛ̃ tɛm];Thema (ein)
